VacunacionId,VacunacionFecha,hora,VacunacionContra,timestamp,vacunaNombre,VacunaMarca,temperatura,peso,referencia,notaCaja,timestamp,timestamp,VacunacionMascotaId,referenciaId
17654,2020-07-31,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,2714,2
17655,2020-07-31,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4428,2
17656,2020-05-13,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4429,2
17657,2020-06-13,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4429,2
17658,2020-07-10,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4429,2
17659,2020-07-31,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4429,2
17660,2020-07-10,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4430,2
17661,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4430,2
17662,2020-06-17,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4433,2
17663,2020-07-07,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4433,2
17664,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4433,2
17665,2020-06-10,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4435,2
17666,2020-07-06,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4435,2
17667,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4435,2
17668,2020-07-11,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4436,2
17669,2020-07-31,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4436,2
17670,2020-08-01,00:00:00,DHPPi A561B02 02/21Lepto A432B02 02/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4438,2
17671,2020-08-01,00:00:00,Rabia A508A01 11/22,2000-01-01 00:00:00,RABIA,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4322,2
17672,2020-08-01,00:00:00,RCP L477776 6/6/21Rabia L472793 29/10/20,2000-01-01 00:00:00,RCP + RABIA,BOEHRINGER,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4443,2
17673,2020-08-01,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4445,2
17674,2020-07-08,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4447,2
17675,2020-08-01,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4447,2
17676,2020-08-03,00:00:00,DHPPi A561B02 02/21Lepto A432B02 02/21,2000-01-01 00:00:00,DHPPI + LEPTO,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4449,2
17677,2020-06-17,00:00:00,sin detalles,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4472,2
17678,2020-07-09,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4472,2
17679,2020-08-03,00:00:00,DHPPi A561B02 02/21,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4472,2
17680,2020-08-03,00:00:00,Hexadog L468501 12/2/21,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,1243,2
17681,2020-08-03,00:00:00,DP A168E03 12/21,2000-01-01 00:00:00,DP,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4197,2
17682,2019-06-29,00:00:00,sin detalles,2000-01-01 00:00:00,DHPPI,INTERVET,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4477,2
17683,2019-07-22,00:00:00,sin detalles,2000-01-01 00:00:00,HEXADOG,MERIAL,0.0,0.0,sin referencia,sin nota,2000-01-01 00:00:00,2000-01-01 00:00:00,4477,2
