id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enable,clienteId,colorId,razaId,especieId
90,VALENTINA,HEMBRA,2008-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,96,46,326,1
91,CANICHE,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,1,333,1
92,ZITA,HEMBRA,2008-06-28T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,86,3,179,1
93,NASH,HEMBRA,2001-03-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,88,30,324,1
94,MIA,HEMBRA,2005-09-05T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,89,1,57,1
95,ELISABETH,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,96,1,326,1
96,MALU,HEMBRA,2011-04-26T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,9,104,1
97,BONY,HEMBRA,2000-11-06T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,3,218,1
98,REINA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,1,79,1
99,SAM,MACHO,2003-07-19T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
100,FRAULIN,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,1,79,1
101,FLOR,HEMBRA,2000-02-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
102,TANGO,MACHO,2000-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,3,326,1
103,SOL,HEMBRA,2003-07-19T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
104,PAYASA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,1,326,1
105,SUGAR,HEMBRA,2003-07-19T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
106,TUERTA NOCHERA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,97,3,345,2
107,SANDY,HEMBRA,2003-07-19T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
108,SERRANA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
109,LOBA,HEMBRA,1998-01-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,1,79,1
110,SAM 2,MACHO,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,1,330,1
111,MIKA,HEMBRA,1999-09-05T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,10,330,1
112,LUNA,HEMBRA,2018-04-02T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,3,326,7
113,FIRULAY,MACHO,2000-07-01T00:00:00.000Z,1990-01-01,Sin observaciones,000000000,FALSE,TRUE,172,18,326,1
