MascotaId,MascotaNombre,MascotaSexo,MascotaNacimiento,MascotaDeceso,MascotaObservaciones,MascotaSocio,MascotaClienteId,MascotaColorId,MascotaRazaId,MascotaEspecieId
9247,SORETE,masculino,2022-12-10,1000-01-01,sin observaciones,false,8071,22,24,1
9248,ALF,masculino,2022-10-24,1000-01-01,sin observaciones,false,6052,61,44,15
9249,CHUMI,femenino,2012-06-10,1000-01-01,sin observaciones,false,8072,4,1,1
9250,BETO,masculino,2022-11-12,1000-01-01,sin observaciones,false,8073,28,2,2
9251,YUMA,femenino,2005-06-12,1000-01-01,sin observaciones,false,8074,64,2,2
9252,GREGORIO,masculino,2019-06-12,1000-01-01,sin observaciones,false,6525,3,2,2
9253,POLO,masculino,2022-08-23,1000-01-01,sin observaciones,false,8075,8,16,1
9254,CORBATA,masculino,2011-06-12,1000-01-01,sin observaciones,false,5712,24,2,2
9255,MALU,femenino,2015-06-12,1000-01-01,sin observaciones,false,8076,3,16,1
9256,OTTO,masculino,2022-04-22,1000-01-01,sin observaciones,false,8077,2,1,1
9257,FELICIA,femenino,2020-06-12,1000-01-01,sin observaciones,false,8078,42,2,2
9258,BONITA,femenino,2017-06-12,1000-01-01,sin observaciones,false,4234,22,2,2
9259,LOLA,femenino,2017-06-13,1000-01-01,sin observaciones,false,8079,9,1,1
9260,COGUY,masculino,2023-04-13,1000-01-01,sin observaciones,false,8080,40,161,1
9261,LOLA,femenino,2023-04-08,1000-01-01,sin observaciones,false,8081,57,109,1
9262,BURBUJA,femenino,2022-06-13,1000-01-01,sin observaciones,false,7130,15,2,2
9263,MULATA,femenino,2016-11-07,1000-01-01,sin observaciones,false,8082,24,124,1
9264,NONA,femenino,2011-06-14,1000-01-01,sin observaciones,false,8083,2,1,1
9265,RUDO,masculino,2012-06-14,1000-01-01,sin observaciones,false,8084,1,9,1
9266,FITO,masculino,2022-11-14,1000-01-01,sin observaciones,false,8085,15,2,2
9267,LUNA,femenino,2022-12-14,1000-01-01,sin observaciones,false,8086,15,2,2
9268,MANYITA,femenino,2023-02-14,1000-01-01,sin observaciones,false,6065,64,2,2
9269,ALMA,femenino,2023-03-14,1000-01-01,sin observaciones,false,7894,1,109,1
9270,JACINTA,femenino,1000-01-01,1000-01-01,sin observaciones,false,1725,2,1,1
9271,COTO,masculino,2023-03-27,1000-01-01,sin observaciones,false,8088,10,62,1
9272,WLATER CARLOS,masculino,2022-09-25,1000-01-01,sin observaciones,false,8089,9,43,1
9273,BRUNO,masculino,2023-04-08,1000-01-01,sin observaciones,false,6643,22,1,1
9274,NALA,femenino,2022-06-16,1000-01-01,sin observaciones,false,8090,9,161,1
9275,ROCKY,masculino,2015-04-05,1000-01-01,sin observaciones,false,4433,16,1,1
9276,GAIA,femenino,2023-03-07,1000-01-01,sin observaciones,false,8091,8,2,2
9277,JOAQUINA,femenino,2023-04-01,1000-01-01,sin observaciones,false,8092,2,2,2
9278,BETTY,femenino,2013-08-16,1000-01-01,sin observaciones,false,1799,8,16,1
9279,ABRIL,femenino,2017-06-16,1000-01-01,sin observaciones,false,8093,2,111,1
9280,COCO,masculino,2016-06-16,1000-01-01,sin observaciones,false,8094,8,16,1
9281,LUNA,femenino,2010-07-16,1000-01-01,sin observaciones,false,1849,9,58,1
9282,LALY,femenino,2018-06-16,1000-01-01,sin observaciones,false,8095,38,35,1
9283,ARTURO,masculino,2019-06-16,1000-01-01,sin observaciones,false,8096,24,2,2
9284,MAJO,femenino,2010-07-18,1000-01-01,sin observaciones,false,8097,105,1,1
9285,OREJA,masculino,2017-06-19,1000-01-01,sin observaciones,false,6325,16,1,1
9286,MALEVO,masculino,2023-01-05,1000-01-01,sin observaciones,false,8098,38,59,1
9287,COCO,masculino,2022-06-18,1000-01-01,sin observaciones,false,7350,1,1,1
9288,CHIQUI,femenino,2015-06-19,2023-06-20,sin observaciones,false,8099,44,150,1
9289,KILLER,masculino,2016-06-19,1000-01-01,sin observaciones,false,8100,9,85,1
9290,SOL,femenino,2011-06-19,1000-01-01,sin observaciones,false,8010,8,16,1
9291,BONI,masculino,2022-11-19,1000-01-01,sin observaciones,false,8101,8,187,10
9292,TIARA,femenino,2013-09-16,1000-01-01,sin observaciones,false,8102,9,9,1
9293,JULIETA,femenino,2015-06-19,1000-01-01,sin observaciones,false,8103,2,1,1
9294,MAX,masculino,2017-06-20,1000-01-01,sin observaciones,false,8104,40,1,1
9295,MIMI,femenino,2021-06-27,1000-01-01,sin observaciones,false,4523,98,1,2
9296,PANCHO,masculino,2015-05-20,1000-01-01,sin observaciones,false,1919,1,109,1
9297,FRANKY,masculino,2014-09-08,1000-01-01,sin observaciones,false,1484,8,16,1
9298,CLEO,femenino,2022-11-29,1000-01-01,sin observaciones,false,8105,15,2,2
9299,HUGO,masculino,1000-01-01,1000-01-01,sin observaciones,false,2423,10,116,1
9300,RENATA,femenino,1000-01-01,1000-01-01,sin observaciones,false,2423,4,116,1
9301,MANOLO,masculino,1000-01-01,1000-01-01,sin observaciones,false,2423,6,116,1
9302,ATENEA,femenino,2023-04-01,1000-01-01,sin observaciones,false,2423,9,27,1
9303,TINI,femenino,2023-04-01,1000-01-01,sin observaciones,false,2423,9,27,1
9304,MILA,femenino,2022-11-21,1000-01-01,sin observaciones,false,8106,15,2,2
9305,BEBE,masculino,2020-11-19,1000-01-01,sin observaciones,false,8107,47,2,2
9306,PACO,masculino,2022-02-14,1000-01-01,sin observaciones,false,7371,39,183,17
9307,AURA,femenino,2023-03-21,1000-01-01,sin observaciones,false,7615,19,3,2
9308,DEXTER,masculino,2018-06-21,2023-06-28,sin observaciones,false,8108,8,44,15
9309,DOLLY,femenino,2015-06-21,1000-01-01,sin observaciones,false,5487,9,1,1
9310,MAURICIA,femenino,2015-06-21,1000-01-01,sin observaciones,false,8109,24,2,2
9311,PANCHO,masculino,2011-01-21,1000-01-01,sin observaciones,false,577,6,1,1
9312,JULIAN,masculino,2009-06-10,1000-01-01,sin observaciones,false,577,2,1,1
9313,TOBY,masculino,2011-12-24,1000-01-01,sin observaciones,false,577,9,1,1
9314,PITUFINA,femenino,2017-08-25,1000-01-01,sin observaciones,false,577,1,1,1
9315,PISTO,masculino,2017-03-14,1000-01-01,sin observaciones,false,577,2,1,1
9316,LUCAS,masculino,2011-05-20,1000-01-01,sin observaciones,false,577,9,1,1
9317,FUCSIA,femenino,2022-05-18,1000-01-01,sin observaciones,false,4018,8,170,1
9318,JAZMIN,femenino,2020-06-21,1000-01-01,sin observaciones,false,8110,2,1,1
9319,SAM,masculino,2015-12-30,1000-01-01,sin observaciones,false,8083,22,7,1
9320,PANCHA,femenino,2013-09-21,1000-01-01,sin observaciones,false,8083,2,1,1
9321,FIRU,masculino,2015-04-09,1000-01-01,sin observaciones,false,8083,14,1,1
9322,CINDY,femenino,2018-04-05,1000-01-01,sin observaciones,false,8083,6,1,1
9323,BELLA,femenino,2015-06-22,1000-01-01,sin observaciones,false,1984,12,2,2
9324,CACHORROS,masculino,2023-05-08,1000-01-01,sin observaciones,false,7905,1,118,1
9325,TOMY,masculino,2022-10-22,1000-01-01,sin observaciones,false,7829,24,2,2
9326,COOPER,masculino,2023-01-02,1000-01-01,sin observaciones,false,8111,22,7,1
9327,MORENA,femenino,2022-09-22,1000-01-01,sin observaciones,false,6643,2,1,1
9328,JUANCHI,masculino,2020-06-23,1000-01-01,sin observaciones,false,6581,35,2,2
9329,ZEUS,masculino,2023-04-04,1000-01-01,sin observaciones,false,8056,44,1,1
9330,MOSTACHON,masculino,2022-08-25,1000-01-01,sin observaciones,false,3231,24,2,2
9331,MU,masculino,2022-08-23,1000-01-01,sin observaciones,false,3231,24,2,2
9332,MILO,masculino,2023-04-20,1000-01-01,sin observaciones,false,8112,47,59,1
9333,CACHORROS,masculino,2023-03-03,1000-01-01,sin observaciones,false,8113,1,1,1
9334,FELI,masculino,2012-06-23,1000-01-01,sin observaciones,false,8114,24,2,2
9335,POLO,masculino,2022-12-16,1000-01-01,sin observaciones,false,8115,9,2,2
9336,NAHOMI,femenino,2017-06-24,1000-01-01,sin observaciones,false,8116,1,1,1
9337,APOLO,masculino,2023-05-10,1000-01-01,sin observaciones,false,8117,42,158,1
9338,KALI,femenino,2023-02-15,1000-01-01,sin observaciones,false,8118,2,2,2
9339,YOLO,masculino,2023-01-13,1000-01-01,sin observaciones,false,8119,8,16,1
9340,ISHKA,femenino,2023-05-17,1000-01-01,sin observaciones,false,4583,1,111,1
9341,REGINA,femenino,2022-03-26,1000-01-01,sin observaciones,false,3540,5,31,1
