id,NOMBRE,SEXO,FECHA_NAC,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
130,JAZM?N,HEMBRA,2011-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,306,30,124,1
131,GATO,HEMBRA CASTRADA,2010-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,86,20,201,2
132,REINA,HEMBRA,2003-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,307,1,328,1
133,LEON,MACHO CASTRADO,2009-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,86,1,500,2
134,LUISSHI,MACHO,2007-09-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,121,1,210,1
135,LUCAS,MACHO,2010-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,307,10,328,1
136,CANICHE,MACHO,2009-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,86,1,333,1
137,ZICO,MACHO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,308,30,218,1
138,LUNA,HEMBRA,2008-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,3,330,1
139,GOLDEN,MACHO,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,309,10,331,1
140,ZITA,HEMBRA,2009-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,3,179,1
141,CHICHI,HEMBRA,2099-08-19T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,123,2,326,1
142,DONA,HEMBRA,2011-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,310,56,112,1
143,NASH,HEMBRA,2006-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,88,30,324,1
144,COCKY,MACHO,2007-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,22,334,1
145,MAX,MACHO,2098-06-19T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,123,4,500,2
146,M?A,HEMBRA,2005-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,89,1,57,1
147,LILI,MACHO,2007-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,312,3,344,2
148,GATO,MACHO,2009-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,312,3,326,2
149,CALA,HEMBRA,2010-04-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,89,1,324,1
150,BATUKE,MACHO,2009-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,313,2,202,1
151,SASHA,HEMBRA,2011-07-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,90,1,99,1
152,RICKI,MACHO,2006-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,314,3,101,1
153,PERRO,MACHO CASTRADO,2010-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,96,11,326,1
154,DONNA,HEMBRA,2010-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
155,ELISABETH,HEMBRA,2008-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,315,23,326,1
156,FLASH,MACHO,2010-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
157,TITINA,HEMBRA,2008-03-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,316,18,326,1
158,ROCKY,MACHO,2007-02-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,30,324,1
159,ROCO,MACHO CASTRADO,2010-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,91,9,333,1
160,CHICHITA,HEMBRA,2007-10-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,316,18,326,1
161,HUAT?,MACHO,2008-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,92,24,330,1
162,GORDITA,HEMBRA,2008-06-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,318,45,326,1
163,CAMILA,HEMBRA,2006-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,319,1,39,1
164,MANCHITA,HEMBRA,2005-12-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,326,1
165,BRONX,MACHO,2011-08-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,320,1,220,1
166,NEGRA,HEMBRA,2009-11-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,42,1,326,1
167,MANCHITA,HEMBRA CASTRADA,2008-05-20T00:00:00.000Z,1000-01-01,Sin observaciones,000000000,FALSE,TRUE,321,1,375,1
