id,nombre,sexo,nacimiento,deceso,observaciones,nro_chip,socio,enabled,clienteId,colorId,razaId,especieId
152,SALVADOR,Macho,2018-03-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1724,11,31,1
153,LUCIFER,Macho,2014-08-19,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1725,3,136,2
154,RON,Macho,2017-11-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2430,1,136,2
155,FRIDA,Hembra,2014-06-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1726,23,31,1
156,TIKI,Macho,2013-05-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2445,4,28,1
157,KONY,Macho,2005-08-29,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1726,9,28,1
158,PAQUI,Macho,2013-12-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2447,10,31,1
159,DOLCCE,Hembra,2008-05-25,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1727,1,14,1
160,KIMBA,Hembra,2018-03-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2451,4,36,1
161,MAXIMO,Macho,2018-03-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1728,7,39,1
162,KAYLA,Hembra,2018-03-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2451,4,35,1
163,SIRO,Macho,2018-01-26,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1729,2,20,1
164,ETOILE,Hembra,2015-08-16,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2458,10,11,1
165,PZZPZZ,Hembra,2013-09-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1731,4,136,2
166,RA,Macho,2018-02-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2805,4,136,2
167,UMA,Hembra,2016-05-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1732,11,31,1
168,BLONDIE,Hembra,2013-05-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3481,10,31,1
169,PACHA,Hembra,2021-05-11,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1732,1,31,1
170,NATA,Hembra,2012-06-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3481,1,31,1
171,COQUI,Macho,2007-11-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1735,9,28,1
172,NATA,Hembra,2013-06-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3482,11,31,1
173,SIMON,Macho,2002-05-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1537,2,42,1
174,RUBI,Hembra,2010-08-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3491,9,28,1
175,MORENA,Hembra,2010-06-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1541,3,43,1
176,ZULU,Hembra,2018-05-30,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3491,2,17,1
177,TUCO,Macho,2006-09-04,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1541,3,43,1
178,TILA,Hembra,2018-07-08,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3491,10,17,1
179,PACOQUITA,Hembra,2006-08-12,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1544,4,136,2
180,LOBA,Hembra,2007-10-22,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3493,11,31,1
181,DUKE,Macho,2017-08-18,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1547,3,39,1
182,MINI,Macho,2016-04-02,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3493,3,31,1
183,HOMERO,Macho,2018-03-06,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1549,1,136,2
184,Spilber,Macho,2011-04-29,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3493,1,31,1
185,NICOLAS,Macho,2005-11-06,2018-06-01,"Sin observaciones",0000000000,FALSE,TRUE,1552,9,135,1
186,FIONA,Hembra,2009-04-29,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3495,1,14,1
187,Juanito,Macho,2011-04-25,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1552,1,135,1
188,ONIX,Hembra,2018-03-13,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,3518,3,136,2
189,KIARA,Hembra,2003-04-05,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,1554,14,5,1
190,LUNA,Hembra,2014-01-28,1000-01-01,"Sin observaciones",0000000000,FALSE,TRUE,2875,1,5,1
